,0,1,2
137,3.588023178629734e-05,1.714207350521119e-05,1.9602846333287594e-05
138,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
139,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
140,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
141,1.794011589314867e-05,3.428414701042238e-05,0.00013721992433301315
142,1.794011589314867e-05,5.142622051563357e-05,1.9602846333287594e-05
143,3.588023178629734e-05,1.714207350521119e-05,1.9602846333287594e-05
144,1.794011589314867e-05,5.142622051563357e-05,1.9602846333287594e-05
145,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
146,7.176046357259468e-05,5.142622051563357e-05,1.9602846333287594e-05
147,3.588023178629734e-05,1.714207350521119e-05,1.9602846333287594e-05
148,1.794011589314867e-05,3.428414701042238e-05,3.920569266657519e-05
149,3.588023178629734e-05,1.714207350521119e-05,1.9602846333287594e-05
150,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
151,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
152,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
153,3.588023178629734e-05,0.00013713658804168953,5.880853899986278e-05
154,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
155,3.588023178629734e-05,1.714207350521119e-05,1.9602846333287594e-05
156,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
157,5.382034767944601e-05,1.714207350521119e-05,1.9602846333287594e-05
158,5.382034767944601e-05,1.714207350521119e-05,1.9602846333287594e-05
159,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
160,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
161,1.794011589314867e-05,3.428414701042238e-05,3.920569266657519e-05
162,3.588023178629734e-05,3.428414701042238e-05,1.9602846333287594e-05
163,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
164,3.588023178629734e-05,1.714207350521119e-05,1.9602846333287594e-05
165,1.794011589314867e-05,6.856829402084476e-05,3.920569266657519e-05
166,5.382034767944601e-05,0.00011999451453647833,5.880853899986278e-05
167,3.588023178629734e-05,0.00010285244103126714,1.9602846333287594e-05
168,3.588023178629734e-05,3.428414701042238e-05,1.9602846333287594e-05
169,1.794011589314867e-05,3.428414701042238e-05,3.920569266657519e-05
170,3.588023178629734e-05,3.428414701042238e-05,1.9602846333287594e-05
171,1.794011589314867e-05,1.714207350521119e-05,5.880853899986278e-05
172,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
173,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
174,3.588023178629734e-05,1.714207350521119e-05,3.920569266657519e-05
175,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
176,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
177,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
178,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
179,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
180,3.588023178629734e-05,1.714207350521119e-05,1.9602846333287594e-05
181,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
182,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
183,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
184,1.794011589314867e-05,5.142622051563357e-05,1.9602846333287594e-05
185,3.588023178629734e-05,1.714207350521119e-05,1.9602846333287594e-05
186,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
187,1.794011589314867e-05,5.142622051563357e-05,1.9602846333287594e-05
188,3.588023178629734e-05,1.714207350521119e-05,1.9602846333287594e-05
189,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
190,3.588023178629734e-05,1.714207350521119e-05,1.9602846333287594e-05
191,1.794011589314867e-05,1.714207350521119e-05,0.00013721992433301315
192,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
193,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
194,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
195,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
196,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
197,3.588023178629734e-05,1.714207350521119e-05,1.9602846333287594e-05
198,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
199,3.588023178629734e-05,1.714207350521119e-05,1.9602846333287594e-05
200,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
201,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
202,1.794011589314867e-05,8.571036752605595e-05,1.9602846333287594e-05
203,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
204,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
205,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
206,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
207,3.588023178629734e-05,1.714207350521119e-05,1.9602846333287594e-05
208,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
209,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
210,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
211,1.794011589314867e-05,1.714207350521119e-05,9.801423166643797e-05
212,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
213,1.794011589314867e-05,1.714207350521119e-05,5.880853899986278e-05
214,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
215,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
216,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
217,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
218,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
219,3.588023178629734e-05,1.714207350521119e-05,1.9602846333287594e-05
220,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
221,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
222,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
223,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
224,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
225,1.794011589314867e-05,1.714207350521119e-05,3.920569266657519e-05
226,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
227,1.794011589314867e-05,5.142622051563357e-05,1.9602846333287594e-05
228,1.794011589314867e-05,3.428414701042238e-05,1.9602846333287594e-05
